publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Review of Research	2249-894X		2011						http://www.doaj.org/doaj?func=openurl&issn=2249894X&genre=journal&uiLanguage=en				fulltext		Review of Research					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	10843204		853472237	raw
Journal of Radiology Case Reports	1943-0922		2007						http://www.doaj.org/doaj?func=openurl&issn=19430922&genre=journal&uiLanguage=en		www.radiologycases.com/		fulltext		EduRad Publishing					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2666713	ojs	232961222	raw
Acta Scientiarum : Human and Social Sciences	1679-7361	1807-8656	1998			2007			http://www.doaj.org/doaj?func=openurl&issn=16797361&genre=journal&uiLanguage=en		periodicos.uem.br/ojs/index.php/ActaSciHumanSocSci		fulltext		Eduem - Editora da Universidade Estadual de Maringá					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2706728	ojs	298724553	raw
Synergies Brésil	1518-8779		2009						http://www.doaj.org/doaj?func=openurl&issn=15188779&genre=journal&uiLanguage=en				fulltext		GERFLINT					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	11308563		780384318	raw
Hygiea Internationalis : an Interdisciplinary Journal for the History of Public Health	1404-4013		1999						http://www.doaj.org/doaj?func=openurl&issn=14044013&genre=journal&uiLanguage=en				fulltext		International Network for the History of Public Health					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	887459		60638908	raw
PPAR Research	1687-4757	1687-4765	2006						http://www.doaj.org/doaj?func=openurl&issn=16874757&genre=journal&uiLanguage=en		ppar		fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1286383	hindawi	76823240	raw
Advances in Environmental Sciences	2066-7620		2009						http://www.doaj.org/doaj?func=openurl&issn=20667620&genre=journal&uiLanguage=en				fulltext		Bioflux Society					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	4868366		875002794	raw
Pesquisa Agropecuária Brasileira	0100-204X	1678-3921	1999						http://www.doaj.org/doaj?func=openurl&issn=0100204X&genre=journal&uiLanguage=en		0100-204X		fulltext		EMBRAPA					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28030	scielo	47000005	raw
JURA : Journal of Urban and Regional Analysis	2067-4082	2068-9969	2009						http://www.doaj.org/doaj?func=openurl&issn=20674082&genre=journal&uiLanguage=en				fulltext		University of Bucharest					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5750258		701805928	raw
Life Sciences and Medicine Research	1948-7886		2010						http://www.doaj.org/doaj?func=openurl&issn=19487886&genre=journal&uiLanguage=en				fulltext		AstonJournals					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3337904		374197376	raw
Stem Cells International	1687-9678		2010						http://www.doaj.org/doaj?func=openurl&issn=16879678&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3246715		664611099	raw
História, Ciências, Saúde-Manguinhos	0104-5970	1678-4758	1994						http://www.doaj.org/doaj?func=openurl&issn=01045970&genre=journal&uiLanguage=en		0104-5970		fulltext		Casa de Oswaldo Cruz, Fundação Oswaldo Cruz					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27801	scielo	46990266	raw
Indian Journal of Pathology and Microbiology	0377-4929	0974-5130	2008						http://www.doaj.org/doaj?func=openurl&issn=03774929&genre=journal&uiLanguage=en		www.ijpmonline.org/		fulltext		Medknow Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1942119	medknow	746947022	raw
Revista do Instituto de Medicina Tropical de São Paulo	0036-4665	1678-9946	1987						http://www.doaj.org/doaj?func=openurl&issn=00364665&genre=journal&uiLanguage=en		0036-4665		fulltext		Instituto de Medicina Tropical					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28129	scielo	47068744	raw
Beijing Law Review	2159-4627	2159-4635	2010						http://www.doaj.org/doaj?func=openurl&issn=21594627&genre=journal&uiLanguage=en				fulltext		Scientific Research Publishing					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6672195		696636627	raw
Journal of Blood Transfusion	2090-9187	2090-9195	2011						http://www.doaj.org/doaj?func=openurl&issn=20909187&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	9230589		789646340	raw
Journal of Orthopaedics	0972-978X		2004						http://www.doaj.org/doaj?func=openurl&issn=0972978X&genre=journal&uiLanguage=en				fulltext		Calicut Medical College					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27933		56347150	raw
Studia Theodisca	1593-2478		1994						http://www.doaj.org/doaj?func=openurl&issn=15932478&genre=journal&uiLanguage=en				fulltext		Università degli Studi di Milano					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	10871769		807055610	raw
Journal of Speech Sciences	2236-9740		2011						http://www.doaj.org/doaj?func=openurl&issn=22369740&genre=journal&uiLanguage=en				fulltext		Luso-Brazilian Association of Speech Sciences					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8773159		823784079	raw
Nanotechnology, Science and Applications	1177-8903		2008						http://www.doaj.org/doaj?func=openurl&issn=11778903&genre=journal&uiLanguage=en				fulltext		Dove Medical Press					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5750263		335291942	raw
Kairos : Evangelical Journal of Theology	1846-4599		2007						http://www.doaj.org/doaj?func=openurl&issn=18464599&genre=journal&uiLanguage=en				fulltext		Biblijski institut, Zagreb					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6672241		762029421	raw
Modern Physics	2161-0916	2161-0924	2011						http://www.doaj.org/doaj?func=openurl&issn=21610916&genre=journal&uiLanguage=en				fulltext		Hans Publishers					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6734598		714605194	raw
Social Research Reports	2066-6861	2067-5941	2009						http://www.doaj.org/doaj?func=openurl&issn=20666861&genre=journal&uiLanguage=en				fulltext		Expert Projects					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3337902		652656354	raw
Open Journal of Acoustics	2162-5786	2162-5794	2011						http://www.doaj.org/doaj?func=openurl&issn=21625786&genre=journal&uiLanguage=en				fulltext		Scientific Research Publishing					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	7067602		742775785	raw
Medicinski Glasnik	1840-0132	1840-2445	2004						http://www.doaj.org/doaj?func=openurl&issn=18400132&genre=journal&uiLanguage=en				fulltext		Medical Association of Zenica-Doboj Canton					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	921308		163576285	raw
British Journal of Pharmacology and Toxicology	2044-2459	2044-2467	2010						http://www.doaj.org/doaj?func=openurl&issn=20442459&genre=journal&uiLanguage=en				fulltext		Maxwell Science Publication					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	9025966		769802675	raw
Journal of Mathematics Research	1916-9795	1916-9809	2009						http://www.doaj.org/doaj?func=openurl&issn=19169795&genre=journal&uiLanguage=en		jmr		fulltext		Canadian Center of Science and Education					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3318162	ojs	456198722	raw
Research in Plant Biology	2231-5101		2011						http://www.doaj.org/doaj?func=openurl&issn=22315101&genre=journal&uiLanguage=en				fulltext		GKS Puhlishers					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8859091		823686940	raw
Journal of the Serbian Chemical Society	0352-5139		1999						http://www.doaj.org/doaj?func=openurl&issn=03525139&genre=journal&uiLanguage=en				fulltext		Serbian Chemical Society					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27950		53963767	raw
Revista Romana de Economie	1220-5567		2008						http://www.doaj.org/doaj?func=openurl&issn=12205567&genre=journal&uiLanguage=en				fulltext		Romanian Academy					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6948192		786944911	raw
International Journal of Image, Graphics and Signal Processing	2074-9074	2074-9082	2009						http://www.doaj.org/doaj?func=openurl&issn=20749074&genre=journal&uiLanguage=en		ijigsp		fulltext		MECS Publisher					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	7067553	mecs	761347167	raw
Asian Journal of Medical Sciences	2040-8765	2040-8773	2009						http://www.doaj.org/doaj?func=openurl&issn=20408765&genre=journal&uiLanguage=en				fulltext		Maxwell Science Publication					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3266283		609681211	raw
Studies in Self-Access Learning Journal	2185-3762		2010						http://www.doaj.org/doaj?func=openurl&issn=21853762&genre=journal&uiLanguage=en				fulltext		Kanda University of International Studies					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5631198		721168590	raw
Science of Sintering	0350-820X		2002						http://www.doaj.org/doaj?func=openurl&issn=0350820X&genre=journal&uiLanguage=en				fulltext		International Institute for the Science of Sintering, Beograd					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5094924		434096654	raw
Turkderm	1019-214X		2002						http://www.doaj.org/doaj?func=openurl&issn=1019214X&genre=journal&uiLanguage=en				fulltext		Galenos  Yayincilik					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1942149		859598142	raw
International Journal of English Linguistics	1923-869X	1923-8703	2011						http://www.doaj.org/doaj?func=openurl&issn=1923869X&genre=journal&uiLanguage=en				fulltext		Canadian Center of Science and Education					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6948146		757090360	raw
Journal of Information and Organizational Sciences	1846-3312	1846-9418	2006						http://www.doaj.org/doaj?func=openurl&issn=18463312&genre=journal&uiLanguage=en		jios		fulltext		University of Zagreb					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2706758	hrcak	456198399	raw
Lecturae Tropatorum	1974-4374		2008						http://www.doaj.org/doaj?func=openurl&issn=19744374&genre=journal&uiLanguage=en				fulltext		Università di Napoli Federico II					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3104869		469887333	raw
Journal of African American Males in Education	2153-9065		2010						http://www.doaj.org/doaj?func=openurl&issn=21539065&genre=journal&uiLanguage=en				fulltext		Journal of African American Males in Education					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	4649364		551734623	raw
Revista de Toxicología	0212-7113	1697-0748	2001						http://www.doaj.org/doaj?func=openurl&issn=02127113&genre=journal&uiLanguage=en				fulltext		Asociación Española de Toxicología					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1651436		243693795	raw
Veterinary Research Forum	2008-8140		2010						http://www.doaj.org/doaj?func=openurl&issn=20088140&genre=journal&uiLanguage=en				fulltext		Urmia University					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5094940			raw
Terengganu International Management and Business Journal	2232-0741		2011						http://www.doaj.org/doaj?func=openurl&issn=22320741&genre=journal&uiLanguage=en				fulltext		Universiti Teknologi MARA, Terengganu					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	12827868		816023361	raw
Ecosistemas	1132-6344	1697-2473	2003						http://www.doaj.org/doaj?func=openurl&issn=11326344&genre=journal&uiLanguage=en				fulltext		Asociación Española de Ecología Terrestre					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	886820		65285459	raw
BMC Public Health	1471-2458		2001						http://www.doaj.org/doaj?func=openurl&issn=14712458&genre=journal&uiLanguage=en		bmcpublichealth		fulltext		BioMed Central					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27619	bmc	47666345	raw
Mineralogia Polonica	0032-6267		2004			2008			http://www.doaj.org/doaj?func=openurl&issn=00326267&genre=journal&uiLanguage=en				fulltext		Mineralogical Society of Poland					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1626739		85449936	raw
Theoria, Beograd	0351-2274		2007						http://www.doaj.org/doaj?func=openurl&issn=03512274&genre=journal&uiLanguage=en				fulltext		Serbian Philosophical Society, Belgrade					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	12971331		869428057	raw
Journal of Global Infectious Diseases	0974-777X	0974-8245	2009						http://www.doaj.org/doaj?func=openurl&issn=0974777X&genre=journal&uiLanguage=en		www.jgid.org		fulltext		Medknow Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3318158	medknow	472611355	raw
International Journal of Economics and Research	2229-6158		2010						http://www.doaj.org/doaj?func=openurl&issn=22296158&genre=journal&uiLanguage=en				fulltext		Sanben Agency					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5845299		762034906	raw
STICEF	1764-7223		2003						http://www.doaj.org/doaj?func=openurl&issn=17647223&genre=journal&uiLanguage=en				fulltext		ATIEF					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	432731		65177207	raw
Atmospheric Measurement Techniques	1867-1381	1867-8548	2008						http://www.doaj.org/doaj?func=openurl&issn=18671381&genre=journal&uiLanguage=en				fulltext		Copernicus Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3231337		270797231	raw
Religion and Gender	1878-5417		2011						http://www.doaj.org/doaj?func=openurl&issn=18785417&genre=journal&uiLanguage=en				fulltext		Utrecht University					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8710449		780391129	raw
Bioinformation	0973-2063		2005						http://www.doaj.org/doaj?func=openurl&issn=09732063&genre=journal&uiLanguage=en				fulltext		Biomedical Informatics Publishing Group					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27555		61658917	raw
Universitas Forum : International Journal on Human Development and International Cooperation	2070-6790		2008						http://www.doaj.org/doaj?func=openurl&issn=20706790&genre=journal&uiLanguage=en				fulltext		Universitas Programme of the KIP Initiative					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035924		780330859	raw
Case Reports in Hepatology	2090-6587	2090-6595	2011						http://www.doaj.org/doaj?func=openurl&issn=20906587&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8710392		768452693	raw
Dalhousie Journal of Interdisciplinary Management	1923-6530		2008						http://www.doaj.org/doaj?func=openurl&issn=19236530&genre=journal&uiLanguage=en				fulltext		Dalhousie Faculty of Management					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5750227		456565725	raw
Psicologia: Teoria e Pesquisa	0102-3772	1806-3446	2000						http://www.doaj.org/doaj?func=openurl&issn=01023772&genre=journal&uiLanguage=en		0102-3772		fulltext		Instituto de Psicologia, Universidade de Brasília					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28065	scielo	60638359	raw
TAF Preventive Medicine Bulletin	1303-734X		2004						http://www.doaj.org/doaj?func=openurl&issn=1303734X&genre=journal&uiLanguage=en				fulltext		GMMA Department of Public health					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28182		243566586	raw
Synergies Royaume-Uni et Irlande	1961-9464		2008						http://www.doaj.org/doaj?func=openurl&issn=19619464&genre=journal&uiLanguage=en				fulltext		GERFLINT					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	11891834		780383645	raw
Meta-Carto-Semiotics	1868-1387		2008						http://www.doaj.org/doaj?func=openurl&issn=18681387&genre=journal&uiLanguage=en				fulltext		Meta-Carto-Semiotics					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8773165		762030424	raw
Zhong Xi Yi Jie He Xue Bao	1672-1977		2003						http://www.doaj.org/doaj?func=openurl&issn=16721977&genre=journal&uiLanguage=en				fulltext		Journal of Chinese Integrative Medicine Press					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1985642		156435278	raw
Encuentro	0424-9674	2220-7112	2008						http://www.doaj.org/doaj?func=openurl&issn=04249674&genre=journal&uiLanguage=en				fulltext		UCA Publicaciones					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	9125538		85449674	raw
Advances in Clinical Medicine	2161-8712	2161-8720	2011						http://www.doaj.org/doaj?func=openurl&issn=21618712&genre=journal&uiLanguage=en				fulltext		Hans Publishers					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8710384		730908964	raw
Bruno Pini Mathematical Analysis Seminar	2240-2829		2010						http://www.doaj.org/doaj?func=openurl&issn=22402829&genre=journal&uiLanguage=en				fulltext		Università di Bologna					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	11308498		853472245	raw
International Journal of Inorganic Chemistry	2090-2026	2090-2034	2009						http://www.doaj.org/doaj?func=openurl&issn=20902026&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3266303		663905411	raw
Zbornik Radova Vizantološkog Instituta	0584-9888		2003						http://www.doaj.org/doaj?func=openurl&issn=05849888&genre=journal&uiLanguage=en				fulltext		Serbian Academy of Sciences and Arts					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5094944		355507720	raw
Advances in Astronomy	1687-7969	1687-7977	2008						http://www.doaj.org/doaj?func=openurl&issn=16877969&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2727914		502418314	raw
ZooKeys	1313-2989	1313-2970	2008						http://www.doaj.org/doaj?func=openurl&issn=13132989&genre=journal&uiLanguage=en				fulltext		Pensoft Publishers					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2754068		244631009	raw
International Journal of Motorcycle Studies	1931-275X		2005						http://www.doaj.org/doaj?func=openurl&issn=1931275X&genre=journal&uiLanguage=en				fulltext		Nova Southeastern University					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27857		62946534	raw
Voix Plurielles	1925-0614		2004						http://www.doaj.org/doaj?func=openurl&issn=19250614&genre=journal&uiLanguage=en				fulltext		Association des Professeur-e-s de Français des Universités et Collèges Canadiens					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5845356		456266877	raw
BMC Gastroenterology	1471-230X		2001						http://www.doaj.org/doaj?func=openurl&issn=1471230X&genre=journal&uiLanguage=en		bmcgastroenterol		fulltext		BioMed Central					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27587	bmc	45893867	raw
GMS Medizinische Informatik, Biometrie und Epidemiologie	1860-9171		2005						http://www.doaj.org/doaj?func=openurl&issn=18609171&genre=journal&uiLanguage=en		mibe		fulltext		German Medical Science, Düsseldorf					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2706751	awmf	71233655	raw
Archive of Oncology	0354-7310	1450-9520	2002						http://www.doaj.org/doaj?func=openurl&issn=03547310&genre=journal&uiLanguage=en				fulltext		Institute of Oncology, Sremska Kamenica					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5094853		60617503	raw
Earth Sciences Research Journal	1794-6190		2004						http://www.doaj.org/doaj?func=openurl&issn=17946190&genre=journal&uiLanguage=en		esrj[1:www.revistas.unal.edu.co/index.php/esrj]		fulltext		Universidad Nacional de Colombia					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	12827823	ojs1	70106174	raw
Parole Rubate : Rivista Internazionale di Studi sulla Citazione	2039-0114		2010						http://www.doaj.org/doaj?func=openurl&issn=20390114&genre=journal&uiLanguage=en				fulltext		Parole Rubate					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5094915			raw
Verniana : Jules Verne Studies/Études Jules Verne	1565-8872		2008						http://www.doaj.org/doaj?func=openurl&issn=15658872&genre=journal&uiLanguage=en				fulltext		Jules Verne Forum					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2666719		456265521	raw
Utbildning and Demokrati : Tidsskrift för Didaktik och Utbildningspolitik	1102-6472		1999						http://www.doaj.org/doaj?func=openurl&issn=11026472&genre=journal&uiLanguage=en				fulltext		Örebro University					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5094939		701804202	raw
Journal of Sports Science and Medicine	1303-2968		2002						http://www.doaj.org/doaj?func=openurl&issn=13032968&genre=journal&uiLanguage=en				fulltext		University of Uludag					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27941		50728108	raw
Razi Journal of Medical Sciences	2228-7043	2228-7051	2011						http://www.doaj.org/doaj?func=openurl&issn=22287043&genre=journal&uiLanguage=en				fulltext		Tehran University of Medical Sciences					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	11308549		823786248	raw
Revista Gestão and Tecnologia	2177-6652		2010						http://www.doaj.org/doaj?func=openurl&issn=21776652&genre=journal&uiLanguage=en				fulltext		Fundação Pedro Leopoldo					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	10871759		854891093	raw
ISRN Analytical Chemistry	2090-7311	2090-732X	2012						http://www.doaj.org/doaj?func=openurl&issn=20907311&genre=journal&uiLanguage=en				fulltext		International Scholarly Research Network					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	9125545		823786960	raw
International Business Research	1913-9004	1913-9012	2008						http://www.doaj.org/doaj?func=openurl&issn=19139004&genre=journal&uiLanguage=en		ibr		fulltext		Canadian Center of Science and Education					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3318140	ojs	435529517	raw
Signa Vitae	1334-5605	1845-206X	2006						http://www.doaj.org/doaj?func=openurl&issn=13345605&genre=journal&uiLanguage=en		signa-vitae		fulltext		Pharmamed Mado					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	886826	hrcak	174144055	raw
Open Access Surgery	1178-7082		2008						http://www.doaj.org/doaj?func=openurl&issn=11787082&genre=journal&uiLanguage=en				fulltext		Dove Medical Press					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5750271		335321145	raw
Revista Brasileira de Ginecologia e Obstetrícia	0100-7203		1998						http://www.doaj.org/doaj?func=openurl&issn=01007203&genre=journal&uiLanguage=en		0100-7203		fulltext		Federação Brasileira das Sociedades de Ginecologia e Obstetrícia					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28099	scielo	60638362	raw
Laser Chemistry	0278-6273	1476-3516	2006			2010			http://www.doaj.org/doaj?func=openurl&issn=02786273&genre=journal&uiLanguage=en		lc		fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1286379	hindawi	57552402	raw
Autism Research and Treatment	2090-1925	2090-1933	2010						http://www.doaj.org/doaj?func=openurl&issn=20901925&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6948097		762017849	raw
EURASIP Journal on Bioinformatics and Systems Biology	1687-4145	1687-4153	2006						http://www.doaj.org/doaj?func=openurl&issn=16874145&genre=journal&uiLanguage=en				fulltext		Springer					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27759		62122939	raw
eEarth	1815-381X	1815-3828	2006			2010			http://www.doaj.org/doaj?func=openurl&issn=1815381X&genre=journal&uiLanguage=en				fulltext		Copernicus Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1286357		73527113	raw
Journal of Culture Collections	1310-8360		1995						http://www.doaj.org/doaj?func=openurl&issn=13108360&genre=journal&uiLanguage=en		cc		fulltext		National Bank for Industrial Microorganisms and Cell Cultures Bulgaria					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27898	bioline	53950269	raw
Depression Research and Treatment	2090-1321	2090-133X	2010						http://www.doaj.org/doaj?func=openurl&issn=20901321&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5845282		654815270	raw
Journal of Toxicology	1687-8191	1687-8205	2009						http://www.doaj.org/doaj?func=openurl&issn=16878191&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2716283		243406560	raw
Information Research: an international electronic journal	1368-1613		1995						http://www.doaj.org/doaj?func=openurl&issn=13681613&genre=journal&uiLanguage=en				fulltext		Professor Tom Wilson					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27836			raw
Speleogenesis and Evolution of Karst Aquifers	1814-294X		2003						http://www.doaj.org/doaj?func=openurl&issn=1814294X&genre=journal&uiLanguage=en				fulltext		Union International of Speleology					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28172		70043708	raw
Jurnal Teknik Mesin	1410-9867		1999						http://www.doaj.org/doaj?func=openurl&issn=14109867&genre=journal&uiLanguage=en				fulltext		Universitas Kristen Petra					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8859072		786953935	raw
American Journal of Plant Physiology	1557-4539	1557-4547	2006						http://www.doaj.org/doaj?func=openurl&issn=15574539&genre=journal&uiLanguage=en		1557-4539		fulltext		Science publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2754028	acajou	61287442	raw
Studia Universitatis Vasile Goldis Arad, Seria Stiinte Economice	1584-2339	2285-3065	2007						http://www.doaj.org/doaj?func=openurl&issn=15842339&genre=journal&uiLanguage=en				fulltext		Vasile Goldis University Press					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	13152949		840003758	raw
Liber Quarterly : The Journal of European Research Libraries	1435-5205		1999						http://www.doaj.org/doaj?func=openurl&issn=14355205&genre=journal&uiLanguage=en				fulltext		Igitur, Utrecht Publishing & Archiving Services					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3246698		896124420	raw
Estudos Econômicos	0101-4161	1980-5357	2003						http://www.doaj.org/doaj?func=openurl&issn=01014161&genre=journal&uiLanguage=en				fulltext		Instituto de Pesquisas Econômicas da FEA-USP					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27756		71757414	raw
Bolivian Studies Journal	1074-2247	2156-5163	2010						http://www.doaj.org/doaj?func=openurl&issn=10742247&genre=journal&uiLanguage=en				fulltext		University Library System, University of Pittsburgh					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	9230575		647720610	raw
Australasian Journal of Logic	1448-5052		2003						http://www.doaj.org/doaj?func=openurl&issn=14485052&genre=journal&uiLanguage=en				fulltext		Australasian Association for Logic					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27544		53706178	raw
Revista Opera	1657-8651		2001						http://www.doaj.org/doaj?func=openurl&issn=16578651&genre=journal&uiLanguage=en				fulltext		Universidad Externado de Colombia					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3231377			raw
International Journal of Signal Processing, Image Processing and Pattern Recognition	2005-4254		2008						http://www.doaj.org/doaj?func=openurl&issn=20054254&genre=journal&uiLanguage=en				fulltext		SERSC					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5631162		701806045	raw
Tecno-Lógica	1415-6229	1982-6753	2007						http://www.doaj.org/doaj?func=openurl&issn=14156229&genre=journal&uiLanguage=en				fulltext		Universidade de Santa Cruz do Sul (UNISC)					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	13152954		853461169	raw
